NOME;CATEGORIA;PRECO_NORMAL;PRECO_PROMO;URL_IMG;DESCRICAO
VINHO TINTO PURPLE ANGEL;tinto;749.9;749.9;https://fibo.promokit.com.br/images/empresa/b57c9760-fa90-11ee-b7f3-c5800d3916c6.png;Purple Angel by Montes é um vinho chileno que surpreende. Rico em aromas de frutas negras, especiarias e café, possui paladar equilibrado e sedoso. Perfeito para harmonizar com carnes e pratos típicos.
VINHO TT SANTA RITA CASA REAL CABERNET SAUVIGNON;tinto;799.9;799.9;https://fibo.promokit.com.br/images/empresa/2292a5e0-ff1b-11ee-a392-e5f577d80506.png;Santa Rita Casa Real Vinho Chileno. O vinho Santa Rita é produzido nos mais diversos tipos de terroirs chilenos, e com a mais alta rigorosidade de qualidade na seleção das suas uvas. Com a intenção de garantir variedade e qualidade na diversificação geográfica, a marca desenvolveu ao longo dos seus 120 anos e mais de 3.000 hectares de vinhas, a capacidade de criar uma vasta gama de vinhos de características marcantes e elevadas.
VINHO CABALLO LOCO LIMARI;tinto;189.9;189.9;https://fibo.promokit.com.br/images/empresa/3443c1f0-025b-11ef-aa27-fb99db8b5586.png;O Vinho Caballo Loco Grand Cru Limarí leva a assinatura da Viña Valdivieso, renomada vínicola chilena, que goza de grande sucesso com a linha Caballo Loco. Produzido com a uva Syrah, oriunda de uma das melhores regiões vitivinícolas para o cultivo dessa variedade, o Vale de Limarí, no Chile! De coloração granada intensa com reflexos violáceos, no nariz um bouquet aromático elegante, onde destacam-se aromas de especiarias, como pimenta-preta, notas de frutas negras, além de toques de oliva. Um Vinho Tinto fresco e com grande presença mineral. Em boca, conta com bom volume, taninos refinados e um final longo. Esse é um rótulo que pode ser apreciado agora, mas que apresenta um potencial de guarda de até oito anos
VINHO CABALLO LOCO MAIPO;tinto;189.9;189.9;https://fibo.promokit.com.br/images/empresa/fa6744d0-fceb-11ee-8801-7327654d4154.png;Sobre o vinho: Um Caballo Loco Grand Cru e safrado elaborado com os melhores frutos vindos do Vale de Maipo. O resultado é um tinto complexo, intenso, com taninos macios e acidez marcante, que proporcionam ao vinho um grande poder de guarda.
VINHO TT CASAS DEL TOQUI CABERNET SAUVIGNON;tinto;59.9;59.9;https://fibo.promokit.com.br/images/empresa/6ac5d680-b427-11f0-aec7-eb7300ae6daa.png;A linha Gran Toqui da prestigiada vinícola chilena Casas del Toqui representa o vinho do Grande Chefe com exemplares imponentes, marcantes e bem estruturados de uvas cuidadosamente selecionadas do Alto Totihue, D.O. Valle del Cachapoal. As uvas provêm das melhores vinhas da família, selecionadas especialmente pelo Enólogo, as macerações são longas, procurando, assim, a maior extração possível e a complexidade única que o Vale do Alto Cachapoal pode oferecer. Este exemplar teve 90% do vinho em barricas americanas e francesas durante 12 meses para agregar maior corpo e complexidade à bebida, resultando um vinho expressivo com as características naturais da uva em equilíbrio com as nuances da barrica. Um vinho potente, bem estruturado e marcante que expressa com autenticidade a Cabernet Sauvignon neste terroir! Esta safra recebeu 90 pontos Wine Enthusiast
VINHO TINTO LA PIU BELLE;tinto;359.9;359.9;https://fibo.promokit.com.br/images/empresa/10aa2f60-0014-11f0-9615-6770c85e1b53.png;O Vinho Tinto Vik La Piu Belle , uma verdadeira obra-prima da vinicultura contemporânea. Originário da renomada Vik Wine, localizada no deslumbrante Vale del Cachapoal, no Chile, este exemplar encapsula a dedicação incansável da vinícola em buscar a excelência em cada taça. Ao servir o Vik La Piu Belle , sua tonalidade rubi intenso já revela pistas sobre a riqueza que está por vir. A densidade da cor sugere uma maturidade excepcional das uvas, resultando em um vinho que promete uma experiência sensorial única.
VINHO TINTO VIK CABERNET SAUVIGNON;tinto;799.9;799.9;https://fibo.promokit.com.br/images/empresa/8bac3b80-01ba-11ef-ae01-b3336a7dd57b.png;VINHO VIK A CABERNET SAUVIGNON 750 ML. Vina Vik A Cabernet Sauvignon tem uma bela cor vermelho rubi. O nariz mostra aromas de frutas vermelhas e pretas, como framboesas, ameixas e amoras, depois notas de especiarias frescas, juntamente com frutas secas e um leve toque de mocha do envelhecimento em barricas francesas. É um vinho elegante, com boa mineralidade e uma sensação sedosa na boca, bastante singular. Tem uma estrutura forte, com taninos macios e tensos, juntamente com uma acidez equilibrada e um final longo inesquecível.
VINHO TT RENO CABERNET SAUVIGNON;tinto;22.99;22.99;https://fibo.promokit.com.br/images/empresa/b2318d50-fc4c-11ee-bea6-75ec96bd7584.png;O vinho Reno inspira-se na rena, animal considerado como rei do bosque, símbolo de poder, força e elegância, é nobre protagonista de histórias de muitas culturas e profundamente conectado com a natureza e a terra. O exemplar Cabernet Sauvignon, a rainha das uvas tintas, expressa a autenticidade da casta no terroir do Vale Central chileno, caminha pelo bosque ao expressar as notas de frutas vermelhas silvestres, tem intensidade e elegância em sintonia, é redondo e muito agradável!
VINHO TINTO LE PETTIT CLOS;tinto;329.9;329.9;https://fibo.promokit.com.br/images/empresa/52578730-066b-11ef-ab01-eb31e66d3d14.png;O Clos Apalta é um projeto de vinhos de altíssima qualidade do renomado produtor Lapostolle. Em 1994 Alexandra Marnier-Lapostolle comprou um vinhedo formado predominantemente por vinhas antigas na região de Apalta, no Vale do Conchagua. Neste vinhedo, que hoje é considerado um dos melhores de todo o Chile, iniciou-se o projeto do Clos Apalta. A filosofia deste produtor é fazer vinhos à maneira dos grandes produtores de Bordeaux, usando a experiência francesa que possuem os envolvidos no projeto. O enólogo responsável pelo Clos Apalta, e seus dois vinhos produzidos, é o renomado Jacques Begarie.
MONTES ALPHA CABERNET ED ESPECIAL CUVEE;tinto;149.9;149.9;;"Verdadeiro clássico da América do Sul, o Montes Alpha foi o primeiro grande tinto chileno, inspirado nos melhores vinhos de Bordeaux. Foi eleito o ""melhor Bordeaux chileno"" pela revista Decanter, e equivale em qualidade a um ""cru bourgeois"" de preço três ou quatro vezes maior! Concentrado e refinado, com muita estrutura, camadas e mais camadas de fruta madura e um elegante final de boca."
VINHO METROPOLITANO CHARDONNAY;branco;19.9;19.9;https://fibo.promokit.com.br/images/empresa/061f9740-1926-11ef-b119-c396633ca672.png;Metropolitano, um primor de linha jovem, descomplicada, versátil e com qualidade superior que será sua companhia certa para o dia a dia! Sob o manto da Cordilheira dos Andes no Vale Central chileno, mais precisamente em vinhedos de 10 anos no Vale de Cachapoal Andes - uma região de clima mediterrâneo, cujos verões são secos e quentes e os invernos são frios e chuvosos, com grande amplitude térmica que favorece o desenvolvimento de aromas e sabores, além de preservar a acidez natural das uvas - temos um terroir de destaque para elaborar a Chardonnay, uva emblemática deste exemplar. A breve passagem por carvalho francês agrega cremosidade, volume e complexidade sem atropelar as caraceterísticas naturais da uva, além de dar uma suavizada na acidez marcante do vinho. Seja como aperitivo, no sunset, na praia, no brunch, à beira da piscina, como welcome drink, ou em seus momentos de skin care, o Metropolitano Chardonnay é o vinho certo para você! O seu momento de descontração e relaxamento pede por Metropolitano!
VINHO TINTO METROPOLITANO RED BLEND;tinto;19.9;19.9;https://fibo.promokit.com.br/images/empresa/1c342b00-1925-11ef-ba30-cd6ff735157e.png;Metropolitano, um primor de linha jovem, descomplicada, versátil e com qualidade superior que será sua companhia certa para o dia a dia! Sob o manto da Cordilheira dos Andes no Vale Central chileno, mais precisamente de vinhedos com 20 anos de idade no Vale do Rapel - uma das regiões vitivinícolas mais importantes do Chile reconhecida pela produção de vinhos de alta qualidade - temos um terroir de excelência para o amadurecimento da Cabernet Sauvignon, a rainha das uvas tintas que dá um show neste exemplar. Esta é uma região caracterizada por um clima mais quente, com invernos amenos e verões quentes, que tem influência oceânica que favorece um perfeito amadurecimento das uvas e contribui para o frescor e equilíbrio dos vinhos. Os três meses em carvalho francês amaciam os taninos e arredondam o vinho, deixando-o ainda mais elegante. O Metropolitano D.O. Valle Central Cabernet Sauvignon é aquele que vai agradar a todos numa confraternização, o vinho certo para o seu churrasco, sucesso numa reunião com os amigos, perfeito para um jantar harmonizado, incrível para brindar suas conquitas. O seu momento de descontração e relaxamento pede por Metropolitano!
FOYE GRAN RESERVA CARMENERE;tinto;39.9;39.9;https://fibo.promokit.com.br/images/empresa/3bbeed90-21cf-11ef-b09b-b7ee30faec7f.png;Com sua cor vermelha rubi e aromas de berries, com toques de cassis, é um vinho encorpado e elegante. Ao provar o Foye reserva Carmenere, você sentirá toda a sua complexidade e equilíbrio, com taninos macios e persistentes. É um vinho ideal para ser harmonizado com carnos vermelhas grelhadas ou assadas.
VINHO CABALLO LOCO GRAND CRU PIRQUE;tinto;189.9;189.9;https://fibo.promokit.com.br/images/empresa/4deeddc0-2276-11ef-b71f-611f83e01a3a.png;Sobre o vinho: Um Caballo Loco Grand Cru e safrado elaborado com os melhores frutos vindos do Vale de Maipo. O resultado é um tinto complexo, intenso, com taninos macios e acidez marcante, que proporcionam ao vinho um grande poder de guarda.
VINHO CHILENO SIBARIS GRAN RESERVA CABERNET;tinto;49.9;49.9;https://fibo.promokit.com.br/images/empresa/e2d6c7e0-2cee-11ef-ba8a-59a997206e9f.png;O Sibaris Gran Reserva DO Valle del Maule Cabernet Sauvignon é um vinho elegante e marcante, com notas de frutas vermelhas maduras, especiarias e toques de chocolate. Seu paladar é intenso e persistente, com taninos suaves e um final longo e agradável.
VINHO TINTO DIABLO CARMENERE;tinto;49.9;49.9;https://fibo.promokit.com.br/images/empresa/6389b150-3252-11ef-ad2b-a3fbbc5aa31c.png;Vinho Diablo Deep Carmenere 750Ml Adega: Concha y ToroMarca: DiabloLinha: DeepTipo de vinho: Tinto meio secoVarietal: CarmenreFormato de venda: UnidadeVolume da unidade: 750 mL
VINHO TINTO DIABLO DARK RED;tinto;49.9;49.9;https://fibo.promokit.com.br/images/empresa/4fa25dd0-3253-11ef-8f38-9d1a6810b778.png;Vinho Tinto Seco Concha y Toro Dark Red Diablo O Vinho Tinto Concha y Toro, é importado de diferentes regiões do Chile e a marca é líder de vinhos importados no Brasil. O vinho Diablo Dark Red é tinto, harmoniza com diferentes pratos ou degustar em momentos especiais, acompanhado(a) ou sozinho(a), com sabores gustativos de frutos vermelhos, ameixa, fruta preta, com notas olfativas de café, chocolate e carvalho. Com safra em 2021, da região Vale Central e Vale de Maule no Chile para o mundo, o vinho é seco com 750ml, ideal para qualquer hora do dia ou da noite, combina muito bem com carne de vaca, massa, cordeiro e aves
VINHO TINTO LOTA CABERNETT SUAVGNON;tinto;499.9;499.9;https://fibo.promokit.com.br/images/empresa/63344ff0-3624-11ef-9cd6-85bff079aa04.png;A vinícola Cousiño Macul está localizada em Peñalolén, uma pequena comuna na região metropolitana de Santiago. Foi fundada em 1856 e até hoje é mantida pela mesma família fundadora. Este é um vinho para acompanhar pratos sofisticados como um filé mignon com purê de maçã e batatas provençal ou vai muito bem somente com uma boa companhia.
VINHO TINTO SIDERAL;tinto;279.9;279.9;https://fibo.promokit.com.br/images/empresa/56a2f3d0-3800-11ef-a182-d558ce675d4a.png;Toda a intensidade aromática surpreende o paladar pela elegância com que passa pela língua. Um vinho macio em boca, que tem acidez, taninos e álcool na medida certa.
GRAN RESERVA SAUVIGNON BLANC;branco;49.9;49.9;https://fibo.promokit.com.br/images/empresa/99db3af0-460f-11ef-8c02-f3b2d9b55d02.png;O Vinhedo Ucúquer, D.O. Litueche, é um extraordinário vinhedo que corre ao longo das margens do Rio Rapel, localizado a apenas 20 km do Oceano Pacífico, em meio à bela maravilha
VINHO TINTO METROPOLITANO CABERNET;tinto;19.9;19.9;https://fibo.promokit.com.br/images/empresa/1c342b00-1925-11ef-ba30-cd6ff735157e.png;Metropolitano, um primor de linha jovem, descomplicada, versátil e com qualidade superior que será sua companhia certa para o dia a dia! Sob o manto da Cordilheira dos Andes no Vale Central chileno, mais precisamente de vinhedos com 20 anos de idade no Vale do Rapel - uma das regiões vitivinícolas mais importantes do Chile reconhecida pela produção de vinhos de alta qualidade - temos um terroir de excelência para o amadurecimento da Cabernet Sauvignon, a rainha das uvas tintas que dá um show neste exemplar. Esta é uma região caracterizada por um clima mais quente, com invernos amenos e verões quentes, que tem influência oceânica que favorece um perfeito amadurecimento das uvas e contribui para o frescor e equilíbrio dos vinhos. Os três meses em carvalho francês amaciam os taninos e arredondam o vinho, deixando-o ainda mais elegante. O Metropolitano D.O. Valle Central Cabernet Sauvignon é aquele que vai agradar a todos numa confraternização, o vinho certo para o seu churrasco, sucesso numa reunião com os amigos, perfeito para um jantar harmonizado, incrível para brindar suas conquitas. O seu momento de descontração e relaxamento pede por Metropolitano!
CASAS DEL TOQUI LEYENDA;tinto;249.9;249.9;https://fibo.promokit.com.br/images/empresa/0ae72560-63ac-11ef-9a23-3d9f02c531ff.png;Leyenda é a linha ícone da prestigiada vinícola Casas del Toque elaborada com uvas provenientes do Alto Totihue, prestigiado terroir da D.O Valle de Cachapoal. Leyenda del Toqui é um vinho emblemático, resultado de uma longa e paciente espera da vinícola que selecionou uvas de maior qualidade das melhores parcelas de suas vinícolas. O exemplar amadurece por 24 meses nas melhores barricas de carvalho francês e envelhece mais 12 meses em garrafa antes de ser comercializado, o que proporcionou maior complexidade aromática e de sabores, estrutura, corpo e afinamento dos taninos. O resultado é um vinho com pronunciados aromas de frutas silvestres, grafite e pimenta preta, que refletem a essência de cada uma das variedades delicadamente combinadas. Na boca, é um vinho intenso, bem estruturado, complexo, com taninos maduros e macios e com final longo e persistente. Um verdadeiro garimpo da Casas del Toqui que você precisa conhecer e se deleitar!
VINHO BRANCO MONTES ALPHA SAUVIGNON BLANC;branco;139.9;139.9;https://fibo.promokit.com.br/images/empresa/6da23c60-fe7d-11ee-a93e-e59d59a3b83a.png;Delicioso, encorpado, complexo e cremoso no paladar, Montes Alpha Chardonnay é criado com uvas da fria região de Casablanca, a melhor do Chile para vinhos brancos. Fermentado e amadurecido em barricas de carvalho francês por um ano, o vinho é, sem dúvida, um dos melhores Chardonnays da América do Sul, que pode evoluir por muito tempo em garrafa.
VINHO TINTO MAPU CABERNET SAUVIGNON;tinto;26.9;26.9;https://fibo.promokit.com.br/images/empresa/19eb9cf0-1477-11ef-ac19-493113a5af80.png;Este vinho estagia em cubas durante um período relativamente curto de cerca de 6 meses, de forma a preservar toda a sua frescura e aromas frutados.
VINHO TINTO MAPU CARMENERE;tinto;26.9;26.9;https://fibo.promokit.com.br/images/empresa/19eb9cf0-1477-11ef-ac19-493113a5af80.png;Este vinho estagia em cubas durante um período relativamente curto de cerca de 6 meses, de forma a preservar toda a sua frescura e aromas frutados.
CASILEIRO DEL DIABLO RED BLEND;tinto;49.9;49.9;https://fibo.promokit.com.br/images/empresa/56876a30-50e6-11ef-8833-299d8434c2d5.png;Casillero Del Diablo Reserva Red Blend não se trata de uma uva, mas sim de um estilo! Um exemplar com perfil moderno, arrojado, fácil de beber e cheio de personalidade. Um blend elaborado com uvas provenientes do Vale Central chileno, principal região viticultora do Chile e mundialmente pela extraordinária qualidade dos vinhos que se produz. Um vinho bem equilibrado e envolvente no paladar, ótimo para servir em festas e acompanhar momentos de risos soltos e muita diversão!
VINHO CABALLO LOCO GRAND CURIC�;tinto;189.9;189.9;https://fibo.promokit.com.br/images/empresa/4be6c480-6abe-11ef-8309-1bed89eb0089.png;Notas de Prova: Destacam-se as frutas vermelhas, com leve toque floral. As notas de cedro e tabaco dão complexidade ao vinho. Estruturado e redondo, com bom volume em boca. Bastante equilibrado, apresenta acidez média. É um vinho com grande potencial de envelhecimento. COMPOSIÇÃO DA UVA: 70% Malbec e 30% Syrah.
VINHO SANTA RITA 120 RSERVA ESPECIAL CARMENERE;tinto;33.9;33.9;https://fibo.promokit.com.br/images/empresa/35fe7770-80e5-11ef-9be3-afacb043904d.png;120 é uma marca com tradição e história, existente para tornar o conceito do vinho algo simples, genuíno, aberto a uma experiência significante. “Viver a Vida 120” consiste em aproveitar o lado simples da vida, desfrutando cada momento com as pessoas que você ama, sem complicações, da forma mais sincera, compartilhando momentos com a família e amigos junto a bom vinho.
VINHO SANTA RITA 120 RSERVA ESPECIAL CABERNET;tinto;33.9;33.9;https://fibo.promokit.com.br/images/empresa/35fe7770-80e5-11ef-9be3-afacb043904d.png;120 é uma marca com tradição e história, existente para tornar o conceito do vinho algo simples, genuíno, aberto a uma experiência significante. “Viver a Vida 120” consiste em aproveitar o lado simples da vida, desfrutando cada momento com as pessoas que você ama, sem complicações, da forma mais sincera, compartilhando momentos com a família e amigos junto a bom vinho.
VINHO SANTA RITA 120 RSERVA ESPECIAL DLIGHT;tinto;33.9;33.9;https://fibo.promokit.com.br/images/empresa/c50fdfc0-80e6-11ef-9055-ad3e314df832.png;120 é uma marca com tradição e história, existente para tornar o conceito do vinho algo simples, genuíno, aberto a uma experiência significante. “Viver a Vida 120” consiste em aproveitar o lado simples da vida, desfrutando cada momento com as pessoas que você ama, sem complicações, da forma mais sincera, compartilhando momentos com a família e amigos junto a bom vinho.
VINHO SANTA RITA 120 RSERVA ESPECIAL SAUBIGNON BLANC;branco;33.9;33.9;https://fibo.promokit.com.br/images/empresa/16244090-80e7-11ef-8a63-f7e381b0b224.png;120 é uma marca com tradição e história, existente para tornar o conceito do vinho algo simples, genuíno, aberto a uma experiência significante. “Viver a Vida 120” consiste em aproveitar o lado simples da vida, desfrutando cada momento com as pessoas que você ama, sem complicações, da forma mais sincera, compartilhando momentos com a família e amigos junto a bom vinho.
VINHO TT ROCAS DE SEN�A;tinto;399.9;399.9;https://fibo.promokit.com.br/images/empresa/d7eb9260-8d98-11ef-8a71-b721f89e1b97.png;Assinado por Eduardo Chadwick, seu second vin, Rocas de Seña leva o nome dos solos rochosos da região e é diferente por incluir uvas mediterrâneas no blend. 2020 é a primeira safra produzida e é um blend de 38% Malbec, 25% Syrah, 15% Cabernet Sauvignon, 14% Grenache (de sua propriedade em Vertientes, de onde também vem o Syrah) e 8% Petit Verdot de parcelas selecionadas de sua propriedade no Aconcágua. De nariz e paladar suculento e texturizado, um pouco mais quente e maduro que o Seña, com aquele toque mediterrâneo da Garnacha e Syrah.
VINHO ERRAZURIZ MAX VIII 150;tinto;99.9;99.9;https://fibo.promokit.com.br/images/empresa/78062280-90d0-11ef-b8f4-519ca124463a.png;Vinho Chileno Errazuriz Max 8 Viñedos Tinto 750ml Principais Características do Produto: Safra: 2019 (sujeita a alterações conforme disponibilidade) Temperatura de Serviço: 16-18°C Teor Alcoólico: 14,0% Tempo de Envelhecimento: Passagem de 18 meses em barricas de carvalho francês Tipo do Lacre da Garrafa: Rolha País de Origem: Chile Benefícios do Produto: O Errazuriz Max 8 Viñedos Tinto é uma expressão refinada da diversidade de terroirs da vinícola Errazuriz. Com seu envelhecimento em barricas de carvalho, oferece uma complexidade e profundidade que se destacam, tornando-o ideal para eventos especiais e para aqueles que apreciam vinhos chilenos de alta qualidade.
VINHO TT SEN�A;tinto;999.9;999.9;https://fibo.promokit.com.br/images/empresa/87a686b0-9302-11ef-8efc-ddee35c5db00.png;Assinado por Eduardo Chadwick, Seña foi o primeiro projeto premium do país. Blend bordalês com 22 meses em carvalho revela bom corpo, com destaque para frutas maduras, notas de tabaco e toques mentolados.
VINHO TT VON SIEBENTHAL PARCELA #7;tinto;149.9;149.9;https://fibo.promokit.com.br/images/empresa/ce4092c0-9616-11ef-a495-e79bd9737da8.png;VINHO VON SIEBENTHAL PARCELA #7 750 ML. O Blend Parcela #7 Gran Reserva surgiu entre cortes de Carbenet Sauvignon, Petit Verdrot, Merlot e Carbenet Franc. Um tinto democrático formado a partir de todas essas castas, cuja escolha partiu por meio de fatores mais intelectuais que emocionais, conforme prega seu criador, Marcos Von Siebenthal. A junção entre todas essas uvas construiu um equilíbrio surpreendente e despretensioso em sua essência. ‘Colheita manual’
VINHO TT MAFIA MERLOT;tinto;47.9;47.9;https://fibo.promokit.com.br/images/empresa/721ae130-e314-11ef-b141-31f3d30266d5.png;O Vinho Chileno Tinto Merlot Mafia, com 750ml, é um vinho de corpo médio, com aromas frutados de ameixas e cerejas, além de toques sutis de especiarias e baunilha. No paladar, é macio e agradável, com taninos suaves e um final equilibrado. Este Merlot é ideal para harmonizar com carnes vermelhas, massas com molhos leves e queijos de média maturação. Uma excelente opção para quem busca um vinho chileno versátil e de bom custo-benefício, perfeito para ser apreciado no dia a dia ou em momentos especiais.
VINHO TT MAFIA CABERNET SAUVIGNON;tinto;47.9;47.9;https://fibo.promokit.com.br/images/empresa/47b8da90-e315-11ef-a359-c93b960bdf2c.png;Vinho Chileno Tinto Cabernet Sauvignon Mafia, com 750ml, é uma expressão intensa e encorpada dos vinhedos chilenos, produzido com uvas Cabernet Sauvignon de alta qualidade. Este vinho apresenta aromas profundos de frutas negras, como ameixas e amoras, combinados com notas de especiarias e leve toque de baunilha proveniente do envelhecimento em barris de carvalho. No paladar, é encorpado, com taninos robustos e uma acidez equilibrada, oferecendo um final longo e agradável. Perfeito para harmonizar com carnes vermelhas, pratos de caça e queijos curados, é um vinho sofisticado para paladares exigentes.
VINHO TT MAFIA SYRAH;tinto;47.9;47.9;https://fibo.promokit.com.br/images/empresa/47b8da90-e315-11ef-a359-c93b960bdf2c.png;Vinho Chileno Syrah é conhecida por produzir vinhos tintos intensos e cheios de personalidade. Esses vinhos apresentam sabores de frutas escuras, como cerejas e amoras, bem como notas terrosas e picantes de especiarias como pimenta preta e cravo. Eles podem ser envelhecidos em carvalho para dar ao vinho sabores adicionais de baunilha e caramelo
VINHO TT KIM SYRAH GRAN RESERVA;tinto;89.9;89.9;https://fibo.promokit.com.br/images/empresa/c8f67a00-fe80-11ef-a7da-9d63754f0336.png;Vinho chileno tinto elaborado com a uva Cabernet Sauvignon. Este rótulo é encorpado, taninos redondos, notas de madeira e frutas silvestres. Saiba mais: Em janeiro de 2003, Casas Patronales inicia sua comercialização no Chile e no mundo. Localizados no Vale do Maule - especificamente na área de San Clemente - receberam os melhores produtos colhidos no campo. Posteriormente, o que não era consumido nas casas senhoriais era vendido localmente.
VINHO TT MAYA CABERNET SAUVIGNON;tinto;49.9;49.9;https://fibo.promokit.com.br/images/empresa/33a14ce0-fe81-11ef-b7e9-bfb76a6f1249.png;Desfrute de uma experiência sensorial única com o Vinho Chileno Tinto Cabernet Sauvignon Maya 750ml. Este vinho de alta qualidade é produzido a partir da prestigiada uva Cabernet Sauvignon, cultivada nas vinhas do Chile, famosas por suas condições climáticas ideais e solo fértil. Com uma cor vermelho-rubi profunda e aromas intensos de frutas vermelhas maduras, este vinho encanta desde o primeiro momento. Seu sabor é equilibrado, com notas de frutas negras, como amora e cereja, e um toque sutil de especiarias.
